idx	shot	dur	hold	jobid
1	S1	3	3	b94ec942-83de-4e9d-b1d5-0c65507d3cba
2	S7	10	17	cfb14b6b-2c6b-42b8-b6f9-8d6f50a879f9
3	S13	10	20	982380cd-3265-47f7-8e86-39b150d73b6e
4	S24	10	20	2b88cd3d-d0b5-4ac6-b08e-b8b157f916e9
5	S28	10	25	388e05b1-3f66-49ff-b4fd-e916c9a48df3
6	S36	10	30	d2fb6e0d-0d07-427e-be43-45287290ec3d
8	S9	8	8	1043aaa6-e6f6-4187-93c9-e2c9057cb665
10	S16	10	13	9587c746-4598-4b79-bf87-56910508de15
11	S18	10	10	3ac5310a-6b15-4e8c-b8c3-fc92b61c3e20
12	S19	10	10	2c5b76a0-aef7-44be-8e00-40621c43bb8c
15	S23	7	7	4c9534f2-dd3a-46c8-912b-ca64223353f8
16	S25	7	7	685ffa78-9758-4476-89aa-917f35513f97
7	S5	10	10	8badc72a-16ad-46af-a937-9f256fd7584d
9	S14	10	10	ee5e563c-cc60-4a96-8bcc-fa04dbd2d71a
13	S21	8	8	580f0887-0bdf-4e7f-8c2f-3bb5c81a086a
14	S22	10	18	18f0a540-7fc2-45a1-9321-a95d2db59b66
17	S27	10	10	64cd9a72-7e72-4e6a-94e1-19f3864f51a3
18	S30	10	15	c57cc9df-0bdb-4cfe-8bb2-a15a5fdb556d
19	S32	10	18	edd37943-8613-4fb9-b51f-8079259fde85
20	S34	8	8	7f90fdc6-319c-4140-b1d6-83f68e2dc4dd
23	S39	8	8	2199a0ee-a5f1-4fe7-8f5f-c50976da0db0
21	S35	12	12	0e853fe5-d197-450a-a712-c79f88e218ac
22	S38	12	12	bb1852fc-911c-47ad-b439-6b7887c5d762
